datetime	score	is_last
20:24 2021/05/05	2456	1
21:14 2021/05/05	2463	0
21:27 2021/05/05	2471	0
21:38 2021/05/05	2482	0
21:54 2021/05/05	2495	0
22:23 2021/05/05	2510	0
22:37 2021/05/05	2527	0
22:53 2021/05/05	2540	0
23:11 2021/05/05	2551	0
23:29 2021/05/05	2536	0
23:49 2021/05/05	2536	0
00:28 2021/05/06	2520	0
00:45 2021/05/06	2501	1
7:11 2021/05/07	2486	0
23:44 2021/05/07	2477	0
0:12 2021/05/08	2462	0
0:35 2021/05/08	2449	0
0:51 2021/05/08	2440	0
1:08 2021/05/08	2425	0
1:20 2021/05/08	2435	0
1:47 2021/05/08	2451	0
2:00 2021/05/08	2441	1
22:14 2021/05/12	2454	0
22:28 2021/05/12	2468	1
23:58 2021/05/14	2480	0
0:09 2021/05/15	2493	0
0:22 2021/05/15	2510	0
0:38 2021/05/15	2497	1
19:56 2021/05/19	2484	0
20:08 2021/05/19	2493	0
20:29 2021/05/19	2505	0
20:45 2021/05/19	2518	0
21:01 2021/05/19	2500	0
21:20 2021/05/19	2514	0
21:31 2021/05/19	2498	0
21:45 2021/05/19	2479	0
21:55 2021/05/19	2466	0
22:27 2021/05/19	2455	0
22:41 2021/05/19	2447	0
22:55 2021/05/19	2430	0
23:07 2021/05/19	2437	0
23:19 2021/05/19	2445	0
23:37 2021/05/19	2456	0
23:50 2021/05/19	2438	0
0:01 2021/05/20	2446	1
1:34 2021/05/22	2459	0
1:48 2021/05/22	2444	0
2:00 2021/05/22	2429	0
2:31 2021/05/22	2446	1
0:46 2021/05/27	2454	0
1:00 2021/05/27	2438	0
1:15 2021/05/27	2424	0
1:35 2021/05/27	2439	0
1:48 2021/05/27	2452	1
